1 625 1 2 0 0 4 0.0615128 0.235928 0.134481 0.834784 
 1 2 0 1 4 0.0669626 0.231854 0.141033 0.828773 
 1 2 0 2 4 0.0768634 0.223914 0.152971 0.818134 
 1 2 0 3 4 0.0907866 0.211997 0.169965 0.803108 
 1 2 0 4 4 0.103206 0.200218 0.185636 0.789056 
 1 2 0 5 4 0.108988 0.193119 0.193799 0.781184 
 1 2 0 6 4 0.121759 0.194272 0.200975 0.782372 
 1 2 0 7 4 0.156507 0.194534 0.221508 0.783929 
 1 2 0 8 4 0.229665 0.192967 0.265181 0.786449 
 1 2 0 9 4 0.349647 0.188899 0.336557 0.790886 
 1 2 0 10 4 0.493518 0.182596 0.421439 0.797069 
 1 2 0 11 4 0.606808 0.176157 0.487457 0.802796 
 1 2 0 12 4 0.664102 0.171747 0.520174 0.806307 
 1 2 0 13 4 0.687047 0.169252 0.532848 0.808121 
 1 2 0 14 4 0.696729 0.167654 0.537882 0.809199 
 1 2 0 15 4 0.701092 0.166367 0.539728 0.809967 
 1 2 0 16 4 0.698478 0.170981 0.544059 0.808162 
 1 2 0 17 4 0.691586 0.182437 0.555779 0.803873 
 1 2 0 18 4 0.674335 0.209806 0.584808 0.793771 
 1 2 0 19 4 0.638079 0.265742 0.645235 0.773208 
 1 2 0 20 4 0.58425 0.347341 0.734623 0.743264 
 1 2 0 21 4 0.533153 0.423368 0.818943 0.715371 
 1 2 0 22 4 0.500677 0.470377 0.871818 0.698091 
 1 2 0 23 4 0.484804 0.492287 0.897046 0.689995 
 1 2 0 24 4 0.478033 0.500883 0.907377 0.686786 
 1 2 1 0 4 0.0633905 0.236241 0.136575 0.831869 
 1 2 1 1 4 0.0680215 0.232713 0.142138 0.826897 
 1 2 1 2 4 0.0773364 0.225517 0.153293 0.817029 
 1 2 1 3 4 0.0906095 0.214571 0.169271 0.803216 
 1 2 1 4 4 0.103064 0.203727 0.184295 0.790568 
 1 2 1 5 4 0.111818 0.197878 0.193567 0.784101 
 1 2 1 6 4 0.126107 0.197048 0.203183 0.782861 
 1 2 1 7 4 0.161576 0.197246 0.224915 0.783316 
 1 2 1 8 4 0.234016 0.196372 0.268853 0.784964 
 1 2 1 9 4 0.351031 0.193258 0.339121 0.788616 
 1 2 1 10 4 0.490926 0.187463 0.42203 0.794365 
 1 2 1 11 4 0.602636 0.180596 0.487044 0.800291 
 1 2 1 12 4 0.660877 0.175277 0.520011 0.804341 
 1 2 1 13 4 0.684679 0.172066 0.532972 0.806589 
 1 2 1 14 4 0.694458 0.170276 0.538231 0.807832 
 1 2 1 15 4 0.697915 0.170158 0.541053 0.808156 
 1 2 1 16 4 0.696573 0.174273 0.545691 0.806645 
 1 2 1 17 4 0.689882 0.18628 0.557857 0.802168 
 1 2 1 18 4 0.672793 0.214429 0.58726 0.791808 
 1 2 1 19 4 0.637525 0.270146 0.646937 0.771406 
 1 2 1 20 4 0.585751 0.349664 0.73388 0.742362 
 1 2 1 21 4 0.536269 0.423424 0.816059 0.715425 
 1 2 1 22 4 0.504104 0.469403 0.868395 0.69858 
 1 2 1 23 4 0.488009 0.491006 0.893762 0.69061 
 1 2 1 24 4 0.481746 0.499146 0.903511 0.687604 
 1 2 2 0 4 0.0651728 0.238902 0.138343 0.827894 
 1 2 2 1 4 0.0698471 0.235439 0.143875 0.823193 
 1 2 2 2 4 0.0783828 0.229299 0.153887 0.814673 
 1 2 2 3 4 0.0905373 0.220235 0.167986 0.803242 
 1 2 2 4 4 0.103426 0.211054 0.182296 0.792701 
 1 2 2 5 4 0.116066 0.205295 0.1942 0.786231 
 1 2 2 6 4 0.135021 0.203342 0.207969 0.783252 
 1 2 2 7 4 0.172868 0.203317 0.232497 0.781996 
 1 2 2 8 4 0.243495 0.203441 0.276699 0.782052 
 1 2 2 9 4 0.353127 0.202019 0.343875 0.784152 
 1 2 2 10 4 0.483382 0.197448 0.421968 0.788834 
 1 2 2 11 4 0.591201 0.190262 0.484825 0.794818 
 1 2 2 12 4 0.651958 0.183506 0.518906 0.79975 
 1 2 2 13 4 0.678453 0.179063 0.533168 0.802793 
 1 2 2 14 4 0.68929 0.176931 0.539319 0.804356 
 1 2 2 15 4 0.693071 0.177435 0.543421 0.804566 
 1 2 2 16 4 0.692138 0.182387 0.549537 0.80288 
 1 2 2 17 4 0.685526 0.19574 0.563143 0.798012 
 1 2 2 18 4 0.668729 0.225308 0.593495 0.787243 
 1 2 2 19 4 0.63581 0.279848 0.651168 0.767475 
 1 2 2 20 4 0.588957 0.354093 0.732061 0.74066 
 1 2 2 21 4 0.543579 0.422674 0.808938 0.715897 
 1 2 2 22 4 0.512566 0.46683 0.859963 0.699885 
 1 2 2 23 4 0.495973 0.488865 0.886319 0.691836 
 1 2 2 24 4 0.488766 0.498482 0.897856 0.688346 
 1 2 3 0 4 0.0671313 0.246789 0.139937 0.820591 
 1 2 3 1 4 0.0719939 0.243253 0.145584 0.81628 
 1 2 3 2 4 0.0801395 0.237878 0.154886 0.809057 
 1 2 3 3 4 0.0916652 0.230358 0.167697 0.799881 
 1 2 3 4 4 0.105403 0.222507 0.181984 0.791183 
 1 2 3 5 4 0.121647 0.216969 0.196672 0.784785 
 1 2 3 6 4 0.145374 0.214808 0.214838 0.780493 
 1 2 3 7 4 0.186056 0.215501 0.243012 0.777374 
 1 2 3 8 4 0.25437 0.217821 0.288065 0.775205 
 1 2 3 9 4 0.354421 0.21955 0.351861 0.774857 
 1 2 3 10 4 0.471267 0.217542 0.423798 0.77761 
